Classification Name,Classification Code,Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Chad,TCD,15085884,15604210,16126866,16644701,17179740
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Chile,CHL,18368577,18701450,19039485,19300315,19493184
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,China,CHN,1396215000,1402760000,1407745000,1411100000,1412360000
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Colombia,COL,48351671,49276961,50187406,50930662,51516562
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Comoros,COM,761664,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,"Congo, Dem. Rep.",COD,84283273,87087355,89906890,92853164,95894118
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,"Congo, Rep.",COG,5312340,5441062,5570733,5702174,5835806
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Costa Rica,CRI,4993842,5040734,5084532,5123105,5153957
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Côte d'Ivoire,CIV,24848016,25493988,26147551,26811790,27478249
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Croatia,HRV,4124531,4087843,4065253,4047680,3879000
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Curacao,CUW,160175,159336,157441,154947,152369
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Cyprus,CYP,1208523,1218831,1228836,1237537,1244188
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Czech Republic,CZE,10594438,10629928,10671870,10697858,10505772
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Denmark,DNK,5764980,5793636,5814422,5831404,5856733
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Djibouti,DJI,1040233,1057198,1073994,1090156,1105557
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Dominica,DMA,70403,70823,71428,71995,72412
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Dominican Republic,DOM,10647244,10765531,10881882,10999664,11117873
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,East Asia & Pacific,EAS,2288221317,2278505178,2290574843,2300278763,2306259068
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Ecuador,ECU,16696944,17015672,17343740,17588595,17797737
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,"Egypt, Arab Rep.",EGY,101789386,103740765,105618671,107465134,109262178
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,El Salvador,SLV,6266654,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Equatorial Guinea,GNQ,1450694,1502091,1553031,1596049,1634466
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Estonia,EST,1317384,1321977,1326898,1329522,1330932
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Eswatini,SWZ,1151390,1160428,1169613,1180655,1192271
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Ethiopia,ETH,108197950,111129438,114120594,117190911,120283026
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Europe & Central Asia,ECS,826577667,829040196,830965742,832392692,832287097
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Fiji,FJI,919019,918996,918465,920422,924610
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Finland,FIN,5508214,5515525,5521606,5529543,5541017
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,France,FRA,66918020,67158348,67388001,67571107,67749632
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Gabon,GAB,2140215,2192012,2242785,2292573,2341179
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,"Gambia, The",GMB,2381182,2444916,2508883,2573995,2639916
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Germany,DEU,82657002,82905782,83092962,83160871,83196078
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Ghana,GHA,30222262,30870641,31522290,32180401,32833031
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Greece,GRC,10754679,10732882,10721582,10698599,10641221
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Grenada,GRD,120921,121838,122724,123663,124610
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Guinea,GIN,12240789,12554864,12877539,13205153,13531906
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Guinea-Bissau,GNB,1879826,1924955,1970457,2015828,2060721
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Guyana,GUY,763252,785514,798753,797202,804567
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Haiti,HTI,10863543,11012421,11160438,11306801,11447569
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,High income,HIC,1219259590,1201464351,1206619363,1211532185,1211165218
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Honduras,HND,9626842,9792850,9958829,10121763,10278345
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,"Hong Kong SAR, China",HKG,7393200,7452600,7507900,7481000,7413100
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Hungary,HUN,9787966,9775564,9771141,9750149,9709891
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Iceland,ISL,343400,352721,360563,366463,372520
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,India,IND,1354195680,1369003306,1383112050,1396387127,1407563842
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Indonesia,IDN,264498852,267066843,269582878,271857970,273753191
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,"Iran, Islamic Rep.",IRN,84505076,85617562,86564202,87290193,87923432
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Iraq,IRQ,39621162,40590700,41563520,42556984,43533592
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Ireland,IRL,4807388,4867316,4934340,4985382,5033165
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Israel,ISR,8713300,8882800,9054000,9215100,9364700
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Italy,ITA,60536709,60421760,59729081,59438851,59109668
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Jamaica,JAM,2808376,2811835,2813773,2820436,2827695
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Japan,JPN,126972000,126811000,126633000,126261000,125681593
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Jordan,JOR,10215381,10459865,10698683,10928721,11148278
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Kazakhstan,KAZ,18037776,18276452,18513673,18755666,19000988
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Kenya,KEN,48948137,49953304,50951450,51985780,53005614
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,"Korea, Rep.",KOR,51361911,51585058,51764822,51836239,51744876
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Kuwait,KWT,4124904,4317185,4441100,4360444,4250114
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Kyrgyz Republic,KGZ,6198200,6322800,6456200,6579900,6691800
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Lao PDR,LAO,6997917,7105006,7212053,7319399,7425057
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Latin America & Caribbean,LCN,572342871,572237142,578509517,583891678,588418945
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Latvia,LVA,1942248,1927174,1913822,1900449,1884490
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Lesotho,LSO,2170617,2198017,2225702,2254100,2281454
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Liberia,LBR,4796631,4889391,4985289,5087584,5193416
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Lithuania,LTU,2828403,2801543,2794137,2794885,2800839
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Low income,LIC,504388820,511509198,526672708,542148509,557798699
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Lower middle income,LMC,3130579322,3167642141,3210833968,3253486207,3293993013
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Luxembourg,LUX,596336,607950,620001,630419,640064
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Madagascar,MDG,26169542,26846541,27533134,28225177,28915653
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Malawi,MWI,17881167,18367883,18867337,19377061,19889742
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Malaysia,MYS,31975806,32399271,32804020,33199993,33573874
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Maldives,MDV,472442,489758,504508,514438,521457
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Mali,MLI,19311355,19934298,20567424,21224040,21904983
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Malta,MLT,467999,484630,504062,515332,518536
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Mauritania,MRT,4160015,4270712,4383849,4498604,4614974
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Mauritius,MUS,1264887,1265577,1265985,1266014,1266334
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Mexico,MEX,122839258,124013861,125085311,125998302,126705138
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Middle East & North Africa,MEA,395380211,402520882,409205838,414593143,419534147
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Moldova,MDA,2755189,2707203,2664224,2635130,2615199
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Mongolia,MNG,3096030,3163991,3232430,3294335,3347782
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Montenegro,MNE,622373,622227,622028,621306,619211
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Montserrat,MSR,..,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Morocco,MAR,35528115,35927511,36304408,36688772,37076584
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Mozambique,MOZ,28569441,29423878,30285595,31178239,32077072
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Myanmar,MMR,52288341,52666014,53040212,53423198,53798084
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Namibia,NAM,2364534,2405680,2446644,2489098,2530151
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Nepal,NPL,28183426,28506712,28832496,29348627,30034989
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Netherlands,NLD,17131296,17231624,17344874,17441500,17533044
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,New Zealand,NZL,4813600,4900600,4979200,5090200,5111400
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Nicaragua,NIC,6480532,6572233,6663924,6755895,6850540
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Niger,NER,21737922,22577058,23443393,24333639,25252722
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Nigeria,NGA,193495907,198387623,203304492,208327405,213401323
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,North America,NAC,361731237,363967201,365995094,369582571,370321816
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,North Macedonia,MKD,2074502,2076217,2076694,2072531,2065092
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Norway,NOR,5276968,5311916,5347896,5379475,5408320
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Oman,OMN,4541854,4601157,4602768,4543399,4520471
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Pakistan,PAK,216379655,219731479,223293280,227196741,231402117
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Panama,PAN,4096063,4165255,4232532,4294396,4351267
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Paraguay,PRY,6355404,6443328,6530026,6618695,6703799
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Peru,PER,31605486,32203944,32824861,33304756,33715471
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Philippines,PHL,106738501,108568836,110380804,112190977,113880328
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Poland,POL,37974826,37974750,37965475,37899070,37747124
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Portugal,PRT,10300300,10283822,10286263,10297081,10325147
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Qatar,QAT,2711755,2766732,2807235,2760385,2688235
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Romania,ROU,19588715,19473970,19371648,19265250,19119880
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Russian Federation,RUS,144496739,144477859,144406261,144073139,143449286
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Rwanda,RWA,12230339,12531808,12835028,13146362,13461888
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Sao Tome and Principe,STP,208036,211344,214599,218641,223107
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Saudi Arabia,SAU,34193122,35018133,35827362,35997107,35950396
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Senegal,SEN,15157793,15574909,16000781,16436120,16876720
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Serbia,SRB,7020858,6982604,6945235,6899126,6834326
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Seychelles,SYC,95843,96762,97625,98462,99258
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Sierra Leone,SLE,7677565,7861281,8046828,8233970,8420641
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Singapore,SGP,5612253,5638676,5703569,5685807,5453566
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Sint Maarten (Dutch part),SXM,40574,40895,41608,42310,42846
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Slovak Republic,SVK,5439232,5446771,5454147,5458827,5447247
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Slovenia,SVN,2066388,2073894,2088385,2102419,2108079
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,South Africa,ZAF,56641209,57339635,58087055,58801927,59392255
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,South Asia,SAS,1783288101,1803847309,1823829015,1843559390,1861812142
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Spain,ESP,46593236,46797754,47134837,47365655,47415750
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Sri Lanka,LKA,21506813,21670000,21803000,21919000,22156000
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,St. Kitts and Nevis,KNA,47785,47761,47712,47642,47606
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,St. Lucia,LCA,177163,177888,178583,179237,179651
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,St. Vincent and the Grenadines,VCT,105549,105281,104924,104632,104332
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Sub-Saharan Africa,SSF,1034965894,1054329184,1082587185,1111354224,1140262394
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Sudan,SDN,40679828,41999059,43232093,44440486,45657202
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Suriname,SUR,587559,593715,600301,607065,612985
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Sweden,SWE,10057698,10175214,10278887,10353442,10415811
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Switzerland,CHE,8451840,8514329,8575280,8638167,8703405
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,"Taiwan, China",TWN,23552470,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Tajikistan,TJK,8925525,9128132,9337003,9543207,9750064
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Tanzania,TZA,56267032,58090443,59872579,61704518,63588334
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Thailand,THA,70898202,71127802,71307763,71475664,71601103
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Togo,TGO,7852795,..,..,..,..
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Trinidad and Tobago,TTO,1478607,1504709,1519955,1518147,1525663
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Tunisia,TUN,11811443,11933041,12049314,12161723,12262946
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Türkiye,TUR,82089826,82809304,83481684,84135428,84775404
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Turks and Caicos Islands,TCA,39844,41487,43080,44276,45114
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Uganda,UGA,40127085,41515395,42949080,44404611,45853778
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,United Arab Emirates,ARE,9068296,9140169,9211657,9287289,9365145
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,United Kingdom,GBR,66058859,66460344,66836327,67081234,67026300
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,United States,USA,325122128,326838199,328329953,331511512,332031554
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Upper middle income,UMC,2408279566,2423831402,2437541195,2448485560,2455938679
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Uruguay,URY,3422200,3427042,3428409,3429086,3426260
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Vietnam,VNM,94033048,94914330,95776716,96648685,97468029
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,West Bank and Gaza,PSE,4454805,4569087,4685306,4803269,4922749
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,WORLD,WLD,7262507298,7304447092,7381667234,7455652461,7518895609
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Zambia,ZMB,17298054,17835893,18380477,18927715,19473125
Food Prices for Nutrition 2.1,FPN 2.1,Population,Pop,Zimbabwe,ZWE,14751101,..,..,..,..
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: Food Prices for Nutrition,,,,,,,,,,
Last Updated: 12/15/2023,,,,,,,,,,
Code,Indicator Name,Long definition,Source,,,,,,,
CoHD,Cost of a healthy diet,"The cost of a healthy diet indicator is the cost of purchasing the least expensive locally available foods to meet requirements for energy and food-based dietary guidelines (FBDGs), in current PPP$/person/day, for a representative person within energy balance at 2330 kcal/day. Data available for 2017, 2018, 2019, 2020 and 2021. PPPs in 2018, and/or 2019, and/or 2020, and/or 2021 are imputed by the Food and Agriculture Organization of the United Nations for the given countries of Argentina, Aruba, Bermuda, British Virgin Islands, Cayman Islands, Curaçao, Democratic Republic of the Congo, Dominica, Djibouti, Equatorial Guinea, Eswatini, Gabon, Kazakhstan, Liberia, Malawi, Myanmar, Sao Tome and Principe, Senegal, Seychelles, Sint Maarten (Dutch part), Suriname, Tajikistan, United Arab Emirates and Zimbabwe.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor globally the cost and affordability of a healthy diet. Background paper for The State of Food Security and Nutrition in the World 2022. Rome, FAO.",,,,,,,
Pop,Population,"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","(1) United Nations Population Division. World Population Prospects: 2022 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",,,,,,,
