oly_game,event_title,event_gender,medal_type,athlete_full_name,country_name,country_code,year
rio-2016,53kg women,Women,GOLD,Shu-Ching HSU,Chinese Taipei,TPE,2016
rio-2016,53kg women,Women,SILVER,Hidilyn DIAZ,Philippines,PHI,2016
rio-2016,53kg women,Women,BRONZE,Jinhee YOON,Republic of Korea,KOR,2016
rio-2016,85kg men,Men,GOLD,Kianoush ROSTAMI,Islamic Republic of Iran,IRI,2016
rio-2016,85kg men,Men,SILVER,Tao TIAN,People's Republic of China,CHN,2016
rio-2016,85kg men,Men,BRONZE,Denis ULANOV,Kazakhstan,KAZ,2016
rio-2016,62kg featherweight men,Men,GOLD,Oscar FIGUEROA,Colombia,COL,2016
rio-2016,62kg featherweight men,Men,SILVER,Eko Yuli IRAWAN,Indonesia,INA,2016
rio-2016,62kg featherweight men,Men,BRONZE,Farkhad KHARKI,Kazakhstan,KAZ,2016
rio-2016,+105kg men,Men,GOLD,Lasha TALAKHADZE,Georgia,GEO,2016
rio-2016,+105kg men,Men,SILVER,Gor MINASYAN,Armenia,ARM,2016
rio-2016,+105kg men,Men,BRONZE,Irakli TURMANIDZE,Georgia,GEO,2016
rio-2016,94kg men,Men,GOLD,Sohrab MORADI,Islamic Republic of Iran,IRI,2016
rio-2016,94kg men,Men,SILVER,Vadim Streltsov,Belarus,BLR,2016
rio-2016,94kg men,Men,BRONZE,Aurimas DIDZBALIS,Lithuania,LTU,2016
rio-2016,69kg women,Women,GOLD,Yanmei XIANG,People's Republic of China,CHN,2016
rio-2016,69kg women,Women,SILVER,Zhazira ZHAPPARKUL,Kazakhstan,KAZ,2016
rio-2016,69kg women,Women,BRONZE,Sara AHMED,Egypt,EGY,2016
rio-2016,+75kg women,Women,GOLD,Suping MENG,People's Republic of China,CHN,2016
rio-2016,+75kg women,Women,SILVER,Kuk Hyang KIM,Democratic People's Republic of Korea,PRK,2016
rio-2016,+75kg women,Women,BRONZE,Sarah ROBLES,United States of America,USA,2016
rio-2016,69kg men,Men,GOLD,Zhiyong SHI,People's Republic of China,CHN,2016
rio-2016,69kg men,Men,SILVER,Daniyar ISMAYILOV,Turkey,TUR,2016
rio-2016,69kg men,Men,BRONZE,Luis Javier MOSQUERA LOZANO,Colombia,COL,2016
rio-2016,58kg women,Women,GOLD,Sukanya SRISURAT,Thailand,THA,2016
rio-2016,58kg women,Women,SILVER,Pimsiri SIRIKAEW,Thailand,THA,2016
rio-2016,58kg women,Women,BRONZE,Hsing-Chun KUO,Chinese Taipei,TPE,2016
rio-2016,77kg men,Men,GOLD,Nidzhat Rakhimov,Kazakhstan,KAZ,2016
rio-2016,77kg men,Men,SILVER,Xiaojun LÜ,People's Republic of China,CHN,2016
rio-2016,77kg men,Men,BRONZE,Mohamed Ihab,Egypt,EGY,2016
rio-2016,48kg women,Women,GOLD,Sopita TANASAN,Thailand,THA,2016
rio-2016,48kg women,Women,SILVER,Sri Wahyuni AGUSTIANI,Indonesia,INA,2016
rio-2016,48kg women,Women,BRONZE,Hiromi MIYAKE,Japan,JPN,2016
london-2012,105kg superheavyweight men,Men,GOLD,Behdad SALIMIKORDASIABI,Islamic Republic of Iran,IRI,2012
london-2012,105kg superheavyweight men,Men,SILVER,Sajjad ANOUSHIRAVANI HAMLABAD,Islamic Republic of Iran,IRI,2012
london-2012,105kg superheavyweight men,Men,BRONZE,Ruslan ALBEGOV,Russian Federation,RUS,2012
london-2012,62kg featherweight men,Men,GOLD,Un Guk KIM,Democratic People's Republic of Korea,PRK,2012
london-2012,62kg featherweight men,Men,SILVER,Oscar FIGUEROA,Colombia,COL,2012
london-2012,62kg featherweight men,Men,BRONZE,Eko Yuli IRAWAN,Indonesia,INA,2012
london-2012,77kg men,Men,GOLD,Xiaojun LÜ,People's Republic of China,CHN,2012
london-2012,77kg men,Men,SILVER,Haojie LU,People's Republic of China,CHN,2012
london-2012,77kg men,Men,BRONZE,Ivan CAMBAR RODRIGUEZ,Cuba,CUB,2012
london-2012,63kg women,Women,GOLD,Christine GIRARD,Canada,CAN,2012
london-2012,63kg women,Women,SILVER,Milka MANEVA,Bulgaria,BUL,2012
